2026-09-13 21:47:07.546 | WARNING  | codeharness.provider.cost:update_cost:35 - Model fake not found in TOKEN_COSTS, cost not counted.
2026-09-13 21:47:52.681 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 21:50:14.784 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:01:04.688 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:49:39.042 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:50:37.354 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:53:02.089 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:53:55.081 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:54:43.402 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:56:30.530 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:57:29.475 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:57:29.479 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:58:13.362 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:58:13.365 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:58:13.374 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:59:31.118 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:59:31.121 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 22:59:31.132 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:00:10.016 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:00:10.019 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:00:10.030 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:01:51.608 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:01:51.613 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:01:51.622 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:22:24.638 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:22:24.641 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:22:24.648 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:22:24.708 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
2026-09-13 23:22:24.708 | INFO     | codeharness.provider.cost:update_cost:40 - Total running cost: $0.000 | Max budget: $10.000 | Current: $0.000, pt=10, ct=5
